id	measurementType	measurementValue	measurementUnit
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	26.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	73.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	93.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	60	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:portodomangue_PM02_2016_2	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	76.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	66.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	60	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	30	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	60	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	76.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	73.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	43.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	53.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	56.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_1	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	30	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	46.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	56.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	46.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	60	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	60	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	43.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_2	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	86.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	56.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	70	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	33.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	90	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	86.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN03_2016_3	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	86.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	83.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	53.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	90	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	30	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	33.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	56.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	33.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	86.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_1	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	36.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	26.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	43.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	53.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	46.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	76.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	66.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	56.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	66.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	73.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	26.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_2	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	30	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	33.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	70	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	66.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	43.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	56.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	26.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	50	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	66.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	20	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	60	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_3	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	100	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	86.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	90	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	80	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	40	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	16.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	23.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	76.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	96.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	80	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	93.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_4	Percentage cover	3.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	76.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	86.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	83.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	10	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	30	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	50	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	6.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	13.33	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	66.67	dimensionless
BR:ReefSYN:RioGrandeDoNorte_benthos_monitoring:BrazilianCoast:caicaradonorte_CN04_2016_5	Percentage cover	3.33	dimensionless
